序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,836892,广咨国际,21.76,29.99,5.02,135168.0,261942886.15,32.14,21.76,16.38,16.43,16.74,3.35,10.12,34.41,7.94,3369859506.0,2906033704.0,0.0,0.0,86.94,98.36
2,831961,创远信科,22.85,29.98,5.27,335041.0,716631180.79,31.91,22.85,17.24,17.65,17.58,5.57,31.78,195.72,4.31,3263905608.0,2409276763.0,0.0,0.0,47.42,54.18
3,688093,世华科技,25.54,20.02,4.26,114109.0,283657591.0,8.65,25.54,23.7,23.7,21.28,4.28,4.34,19.24,3.35,6707603708.0,6707603708.0,0.0,0.0,41.18,26.5
4,688182,灿勤科技,27.16,20.02,4.53,160085.0,403638911.0,20.99,27.16,22.41,22.41,22.63,2.06,4.0,119.86,4.93,10864000000.0,10864000000.0,0.0,0.0,58.74,51.9
5,301566,达利凯普,16.37,20.01,2.73,216399.0,344361107.5,9.6,16.37,15.06,15.06,13.64,4.19,10.25,31.79,4.68,6548163700.0,3455490490.0,0.0,0.0,6.78,-0.43
6,300322,硕贝德,13.92,20.0,2.32,712440.0,945723210.17,20.95,13.92,11.49,11.6,11.6,5.74,16.0,-99.99,6.7,6483190264.0,6196474595.0,0.0,0.0,8.75,6.18
7,300778,新城市,12.08,19.96,2.01,174798.0,192964286.41,21.55,12.08,9.91,10.16,10.07,2.95,8.58,-14.01,1.87,2465045597.0,2459723391.0,0.0,0.0,20.92,8.24
8,301600,慧翰股份,183.8,19.23,29.65,34708.0,590613882.5,20.18,183.88,152.78,154.18,154.15,2.25,19.78,71.7,10.26,12893570000.0,3225690000.0,0.0,0.97,-29.48,-6.51
9,833394,民士达,52.0,17.94,7.91,154322.0,786844016.07,24.59,56.84,46.0,46.0,44.09,1.66,32.18,62.23,10.18,7605000000.0,2493595000.0,0.29,-0.06,128.07,168.04
10,301509,金凯生科,28.68,17.25,4.22,140559.0,404442499.87,11.65,29.35,26.5,27.0,24.46,7.01,24.77,65.94,1.61,3454410467.0,1627329815.0,0.0,-0.35,13.99,10.82
11,838924,广脉科技,30.74,15.78,4.19,123316.0,361150232.98,18.79,31.39,26.4,26.69,26.55,2.52,19.73,94.78,10.89,3306747910.0,1921644579.0,0.03,-0.1,103.17,104.12
12,835640,富士达,29.57,15.6,3.99,151649.0,425055023.41,16.69,29.57,25.3,25.43,25.58,3.24,8.4,108.58,6.36,5551116960.0,5340341556.0,0.07,0.92,26.8,8.47
13,300266,兴源环境,2.48,12.73,0.28,955859.0,235131707.27,16.82,2.57,2.2,2.22,2.2,3.02,6.15,-18.74,30.95,3853442139.0,3852035607.0,-0.4,-0.8,-4.98,-12.98
14,688307,中润光学,27.2,12.68,3.06,37324.0,95781121.0,14.33,27.3,23.84,24.0,24.14,2.74,6.42,44.8,2.78,2393600000.0,1581661558.0,-0.11,0.0,11.48,13.33
15,300204,舒泰神,9.08,12.24,0.99,497699.0,442518610.6,14.83,9.32,8.12,8.12,8.09,2.7,10.54,-29.95,4.67,4338174799.0,4285572053.0,0.22,-0.11,33.14,22.54
16,300134,大富科技,11.48,12.0,1.23,440187.0,487166304.91,15.61,11.75,10.15,10.25,10.25,3.3,6.18,-29.47,2.09,8810877109.0,8178558709.0,-0.09,0.0,1.41,-2.13
17,830879,基康仪器,21.5,11.86,2.28,66082.0,134116961.94,14.46,21.6,18.82,19.13,19.22,2.01,5.86,38.94,5.04,2999202184.0,2423641207.0,1.61,1.61,82.67,82.67
18,300964,本川智能,38.26,11.25,3.87,80847.0,302989850.15,18.29,40.35,34.06,34.23,34.39,4.4,14.95,104.77,2.97,2957432346.0,2068370876.0,-0.34,0.16,10.23,6.57
19,833523,德瑞锂电,26.97,11.08,2.69,97017.0,258553134.23,14.79,28.24,24.65,24.7,24.28,3.31,11.97,13.64,4.6,2732097922.0,2185635666.0,-0.04,-0.11,19.34,34.92
20,832978,开特股份,24.98,10.78,2.43,83942.0,201395059.13,10.78,24.98,22.55,22.84,22.55,2.04,8.38,22.9,6.56,4477951471.0,2502170361.0,0.2,1.22,57.5,85.04
21,000560,我爱我家,3.58,10.15,0.33,3737585.0,1268654554.65,12.0,3.58,3.19,3.25,3.25,2.33,16.57,114.87,0.9,8432693047.0,8073875171.0,0.0,0.0,20.13,17.38
22,000402,金 融 街,3.04,10.14,0.28,1086890.0,322599178.98,10.87,3.04,2.74,2.76,2.76,3.67,3.64,-2.61,0.27,9086346917.0,9084218902.0,0.0,0.0,-4.1,-6.75
23,002177,御银股份,4.68,10.12,0.43,695647.0,323093134.68,10.82,4.68,4.22,4.22,4.25,2.18,10.4,212.72,2.1,3562375256.0,3131903334.0,0.0,0.0,-4.49,4.0
24,600794,保税科技,4.58,10.1,0.42,906017.0,404720340.0,6.97,4.58,4.29,4.42,4.16,0.99,7.55,26.2,2.11,5496696879.0,5496696879.0,0.0,0.0,26.52,26.17
25,601010,文峰股份,3.38,10.1,0.31,2334967.0,771808608.0,10.42,3.38,3.06,3.1,3.07,4.22,12.64,67.53,1.44,6246240000.0,6246240000.0,0.0,0.0,29.01,22.91
26,002446,盛路通信,6.22,10.09,0.57,466478.0,279011556.21,11.15,6.22,5.59,5.63,5.65,2.34,5.5,64.25,1.73,5693301123.0,5272590101.0,0.0,0.0,-3.27,-5.04
27,002629,仁智股份,5.24,10.08,0.48,361040.0,179089350.0,11.97,5.24,4.67,4.79,4.76,1.03,10.14,-162.5,71.77,2232753520.0,1865180269.0,0.0,0.0,32.66,23.29
28,002564,天沃科技,5.25,10.06,0.48,1879254.0,953703736.56,12.37,5.25,4.66,4.91,4.77,4.95,21.89,616.3,37.61,4509248504.0,4506682640.0,0.0,0.0,25.0,17.98
29,601086,国芳集团,11.61,10.05,1.06,1011974.0,1103867801.0,15.83,11.61,9.94,10.5,10.55,1.24,15.19,133.3,4.89,7732260000.0,7732260000.0,0.0,0.0,146.5,97.79
30,002427,尤夫股份,6.57,10.05,0.6,1177971.0,743594639.08,9.55,6.57,6.0,6.07,5.97,1.0,11.95,-139.65,7.03,6474293345.0,6474253327.0,0.0,0.0,92.67,88.79
31,002194,武汉凡谷,11.5,10.05,1.05,470232.0,523986699.5,10.05,11.5,10.45,10.45,10.45,2.1,9.2,147.57,3.1,7857786769.0,5875292213.0,0.0,0.0,6.09,2.5
32,603042,华脉科技,13.48,10.04,1.23,242679.0,322081288.0,11.02,13.48,12.13,12.25,12.25,4.28,15.11,148.58,2.41,2164751043.0,2164751043.0,0.0,0.0,20.04,-10.43
33,002792,通宇通讯,14.47,10.04,1.32,258330.0,360613887.87,10.34,14.47,13.11,13.11,13.15,3.21,8.23,110.11,2.72,7559611370.0,4540768161.0,0.0,0.0,3.73,-2.76
34,600810,神马股份,8.23,10.03,0.75,254901.0,203908998.0,9.36,8.23,7.53,7.57,7.48,3.32,2.54,249.16,1.2,8354320421.0,8273452441.0,0.0,0.0,5.78,1.73
35,002780,三夫户外,12.29,10.03,1.12,307173.0,375633889.35,7.61,12.29,11.44,11.44,11.17,3.88,23.51,169.64,2.78,1936750203.0,1605722101.0,0.0,0.0,3.71,-2.85
36,600776,东方通信,11.09,10.02,1.01,315462.0,335310154.0,10.91,11.09,9.99,10.04,10.08,4.22,3.3,100.8,4.03,13929040710.0,10602040710.0,0.0,0.0,4.62,-0.89
37,603116,红蜻蜓,5.93,10.02,0.54,397375.0,215658874.0,15.58,5.93,5.09,5.39,5.39,4.28,6.9,-205.03,1.19,3416870744.0,3416870744.0,0.0,0.0,6.85,6.85
38,000025,特  力Ａ,21.19,10.02,1.93,777647.0,1629108931.54,5.97,21.19,20.04,20.18,19.26,3.57,19.8,66.85,5.29,9134125801.0,8322972601.0,0.0,0.0,34.37,28.27
39,000514,渝 开 发,4.5,10.02,0.41,1071947.0,467191469.94,11.0,4.5,4.05,4.1,4.09,10.4,12.7,-62.51,1.03,3796969343.0,3796969343.0,0.0,0.0,11.94,9.49
40,002866,传艺科技,15.92,10.02,1.45,166824.0,254490517.72,10.92,15.92,14.34,14.46,14.47,2.99,9.2,75.0,2.17,4609194316.0,2885762776.0,0.0,0.0,3.65,-1.61
41,002583,海能达,11.76,10.01,1.07,1133866.0,1313040327.08,10.38,11.76,10.65,10.65,10.69,1.76,8.84,63.78,3.51,21385141121.0,15082976736.0,0.0,0.0,-13.4,-17.24
42,603696,安记食品,12.42,10.01,1.13,241584.0,299858027.0,3.54,12.42,12.02,12.42,11.29,1.26,10.27,102.81,5.21,2921184000.0,2921184000.0,0.0,0.0,52.58,51.46
43,603955,大千生态,21.76,10.01,1.98,157255.0,328075954.0,10.87,21.76,19.61,19.87,19.78,1.99,11.59,101.37,1.89,2953267200.0,2953267200.0,0.0,0.0,19.96,20.22
44,603677,奇精机械,21.87,10.01,1.99,236997.0,501757037.0,12.02,21.87,19.48,19.55,19.88,1.47,12.31,62.45,3.65,4212180918.0,4212180918.0,0.0,0.0,62.72,62.24
45,603271,永杰新材,38.68,10.01,3.52,85849.0,320796732.0,10.49,38.68,34.99,35.06,35.16,2.4,22.26,23.82,2.92,7609129600.0,1491901950.0,0.0,0.0,87.77,87.77
46,002806,华锋股份,11.98,10.01,1.09,181140.0,208722638.78,11.48,11.98,10.73,10.87,10.89,2.88,11.47,335.57,2.65,2350893826.0,1891181046.0,0.0,0.0,-3.78,6.21
47,000863,三湘印象,3.85,10.0,0.35,380042.0,145186163.15,10.57,3.85,3.48,3.48,3.5,2.15,3.27,52.23,1.0,4545693306.0,4479919071.0,0.0,0.0,-3.51,-0.77
48,001395,亚联机械,56.85,10.0,5.17,127441.0,709164005.36,7.89,56.85,52.77,52.77,51.68,2.67,66.06,32.1,4.66,4959594000.0,1096659467.0,0.0,0.0,197.96,197.96
49,603002,宏昌电子,6.27,10.0,0.57,847785.0,497372789.0,14.39,6.27,5.45,5.5,5.7,3.45,7.48,145.25,2.07,7110672251.0,7110672251.0,0.0,0.0,7.73,16.76
50,000628,高新发展,46.53,10.0,4.23,157105.0,697641332.84,10.64,46.53,42.03,42.41,42.3,2.49,8.18,275.6,7.76,16391588400.0,8937682944.0,0.0,0.0,-8.94,-25.3
51,003020,立方制药,27.84,10.0,2.53,8210.0,22857113.28,0.0,27.84,27.84,27.84,25.31,0.22,0.59,33.56,3.14,5324692320.0,3842947658.0,0.0,0.0,55.01,56.05
52,603351,威尔药业,24.0,9.99,2.18,46194.0,108055860.0,9.95,24.0,21.83,21.84,21.82,2.31,3.41,21.59,1.95,3250539168.0,3250539168.0,0.0,0.0,6.24,-2.28
53,002981,朝阳科技,21.91,9.99,1.99,76238.0,161406993.01,10.39,21.91,19.84,19.99,19.92,1.0,6.38,26.25,2.87,2963395750.0,2616630562.0,0.0,0.0,-1.7,-6.05
54,002809,红墙股份,9.58,9.99,0.87,333607.0,314918571.99,6.54,9.58,9.01,9.45,8.71,6.42,24.22,37.83,1.26,2013993973.0,1319502766.0,0.0,0.0,18.27,20.81
55,600053,九鼎投资,14.09,9.99,1.28,172206.0,239317250.0,10.38,14.09,12.76,12.78,12.81,1.11,3.97,654.11,2.11,6108589872.0,6108589872.0,0.0,0.0,-4.08,1.59
56,002836,新宏泽,9.69,9.99,0.88,25668.0,24872757.12,0.0,9.69,9.69,9.69,8.81,0.53,1.11,35.72,6.0,2232576000.0,2232576000.0,0.0,0.0,18.17,31.66
57,002796,世嘉科技,11.79,9.98,1.07,249283.0,282146007.37,10.17,11.79,10.7,10.79,10.72,2.32,11.0,79.48,3.46,2976113717.0,2670983035.0,0.0,0.0,7.18,5.08
58,003027,同兴科技,15.87,9.98,1.44,65096.0,100011628.0,10.6,15.87,14.34,14.34,14.43,4.13,6.21,79.8,1.23,2074577184.0,1664143562.0,0.0,0.0,9.83,5.52
59,002277,友阿股份,5.73,9.98,0.52,1497862.0,831536053.91,11.52,5.73,5.13,5.18,5.21,2.01,10.74,52.39,1.18,7988610144.0,7988610144.0,0.0,0.0,14.14,-2.05
60,601798,蓝科高新,7.16,9.98,0.65,88199.0,63150513.0,0.0,7.16,7.16,7.16,6.51,1.12,2.49,97.87,2.04,2538421898.0,2538421898.0,0.0,0.0,16.05,-4.41
61,002278,神开股份,7.72,9.97,0.7,701881.0,524963637.32,9.54,7.72,7.05,7.19,7.02,1.56,21.0,104.0,2.52,2809382483.0,2580074342.0,0.0,0.0,45.39,44.84
62,605188,国光连锁,13.79,9.97,1.25,369264.0,500464632.0,7.89,13.79,12.8,13.55,12.54,1.68,7.45,626.38,6.09,6834048200.0,6834048200.0,0.0,0.0,94.77,80.5
63,600865,百大集团,10.26,9.97,0.93,178027.0,174166375.0,11.25,10.26,9.21,9.21,9.33,1.24,4.73,29.08,1.65,3860225642.0,3860225642.0,0.0,0.0,14.38,-12.83
64,003003,天元股份,10.6,9.96,0.96,177026.0,179068867.0,12.45,10.6,9.4,9.63,9.64,1.91,15.25,27.85,1.47,1874061980.0,1230697439.0,0.0,0.0,6.64,10.3
65,002165,红 宝 丽,11.92,9.96,1.08,2833750.0,3311105969.9,7.01,11.92,11.16,11.18,10.84,0.97,38.94,142.61,4.35,8764416457.0,8673343592.0,0.0,0.0,169.68,178.5
66,002342,巨力索具,4.64,9.95,0.42,1094305.0,494612245.68,9.72,4.64,4.23,4.23,4.22,1.23,11.46,-897.2,1.8,4454400000.0,4429761600.0,0.0,0.0,36.87,43.65
67,600187,国中水务,3.98,9.94,0.36,1542368.0,588929442.0,10.22,3.98,3.61,3.61,3.62,2.42,9.56,535.36,2.03,6422848790.0,6422848790.0,0.0,0.0,25.95,18.45
68,603021,山东华鹏,4.21,9.92,0.38,80900.0,34058732.0,0.0,4.21,4.21,4.21,3.83,0.7,2.53,-10.39,12.84,1346981375.0,1346981375.0,0.0,0.0,0.72,-1.86
69,000965,天保基建,4.1,9.92,0.37,1560861.0,622390974.81,10.72,4.1,3.7,3.92,3.73,1.71,14.06,270.13,0.84,4550306670.0,4550306670.0,0.0,0.0,39.93,36.67
70,600510,黑牡丹,5.32,9.92,0.48,329639.0,168745598.0,9.92,5.32,4.84,4.91,4.84,3.19,3.19,51.88,0.54,5490375431.0,5490375431.0,0.0,0.0,17.7,11.53
71,601068,中铝国际,5.76,9.92,0.52,652993.0,368396371.0,8.78,5.76,5.3,5.38,5.24,3.09,2.55,77.76,6.1,17198416898.0,14743242242.0,0.0,0.0,37.14,30.61
72,002329,皇氏集团,3.44,9.9,0.31,190178.0,65421187.28,0.0,3.44,3.44,3.44,3.13,0.5,2.92,-149.36,1.69,2918525945.0,2237337899.0,0.0,0.0,-0.29,-5.23
73,000720,新能泰山,2.9,9.85,0.26,127335.0,36111449.9,9.85,2.9,2.64,2.64,2.64,1.88,1.01,-63.48,1.49,3643941556.0,3643941556.0,0.0,0.0,-4.61,-10.77
74,000620,新华联,1.79,9.82,0.16,1512835.0,262947042.84,11.04,1.79,1.61,1.63,1.63,2.85,3.24,94.4,1.91,10510548922.0,8362390865.0,0.0,0.0,0.0,-18.26
75,300252,金信诺,10.04,9.61,0.88,684351.0,664608863.98,11.79,10.15,9.07,9.16,9.16,2.78,12.74,894.64,3.09,6648024493.0,5391793800.0,0.9,1.01,13.06,-6.69
76,688602,康鹏科技,9.66,9.52,0.84,675570.0,618665869.0,14.29,9.68,8.42,8.83,8.82,2.75,26.5,40.95,1.79,5017162500.0,2463079984.0,0.42,1.05,47.71,39.8
77,833427,华维设计,15.4,9.3,1.31,94493.0,139746399.27,16.89,16.0,13.62,13.82,14.09,1.67,18.67,77.82,4.67,1587663000.0,779550526.0,0.33,0.72,14.93,40.0
78,300530,领湃科技,27.01,9.09,2.25,171112.0,448082401.14,15.67,27.88,24.0,24.76,24.76,1.68,10.81,-24.41,67.65,4644406072.0,4275000025.0,-0.99,-1.06,59.73,59.54
79,301419,阿莱德,29.64,8.97,2.44,57465.0,166868285.76,14.93,30.99,26.93,27.07,27.2,4.65,16.26,80.43,3.19,2964000000.0,1047774000.0,-0.03,0.03,-5.51,-1.82
80,002571,德力股份,8.14,8.97,0.67,297243.0,236271753.09,9.37,8.19,7.49,7.5,7.47,1.15,9.96,-18.42,2.98,3190478698.0,2428212370.0,0.74,1.12,82.51,98.54
81,688683,莱尔科技,23.02,8.94,1.89,28185.0,63568040.0,12.87,23.5,20.78,21.13,21.13,3.72,1.82,101.5,3.57,3572195926.0,3572195926.0,0.09,0.04,26.28,15.91
82,688288,鸿泉物联,37.62,8.85,3.06,64382.0,237344678.0,12.67,38.48,34.1,34.59,34.56,1.35,6.4,-1086.78,5.22,3786224270.0,3786224270.0,0.37,0.08,112.54,133.66
83,833751,惠同新材,17.77,8.62,1.41,105952.0,184035203.0,7.58,17.87,16.63,16.91,16.36,2.8,12.76,38.94,4.04,1542080600.0,1476102811.0,0.06,0.17,38.61,46.26
84,301505,苏州规划,22.46,8.5,1.76,42528.0,93833505.0,16.76,23.79,20.32,20.57,20.7,3.28,7.31,89.14,2.02,1976480000.0,1306746158.0,0.09,0.0,-2.52,-9.0
85,830779,武汉蓝电,65.4,8.39,5.06,36365.0,232981451.86,14.25,68.0,59.4,59.8,60.34,0.94,25.41,50.83,8.23,3740880000.0,936083345.0,0.06,0.31,85.27,97.58
86,831305,海希通讯,21.1,8.15,1.59,70141.0,144258289.14,11.07,21.44,19.28,19.51,19.51,1.44,6.37,43.81,3.77,2959486000.0,2322904402.0,0.09,0.14,41.52,53.23
87,688707,振华新材,11.99,8.02,0.89,145816.0,171842640.0,10.63,12.2,11.02,11.02,11.1,2.67,2.87,-11.56,1.38,6099795058.0,6099795058.0,-0.08,0.08,16.86,9.5
88,831278,泰德股份,14.58,7.84,1.06,102462.0,143488469.33,8.8,14.59,13.4,13.6,13.52,1.68,10.51,122.19,5.92,2267569080.0,1421709155.0,0.0,1.67,36.77,67.01
89,300468,四方精创,20.39,7.77,1.47,1405204.0,2910161967.91,16.86,22.19,19.0,19.11,18.92,1.31,26.57,154.5,6.68,10819938717.0,10783277212.0,0.0,-0.1,31.13,25.09
90,920082,方正阀门,21.4,7.7,1.53,91844.0,193373584.04,10.07,21.98,19.98,20.19,19.87,1.74,28.32,46.92,6.26,3110597000.0,694053681.0,-0.19,-0.74,59.7,43.62
91,300986,志特新材,18.69,7.66,1.33,149814.0,272870017.4,8.24,18.8,17.37,17.61,17.36,1.74,5.72,61.95,3.18,4900700732.0,4895181874.0,0.0,0.0,55.75,53.95
92,600969,郴电国际,7.66,7.58,0.54,627180.0,477391798.0,10.67,7.83,7.07,7.1,7.12,2.53,16.95,-78.14,0.8,2834586707.0,2834586707.0,-0.39,-0.52,23.95,19.13
93,300810,中科海讯,37.28,7.5,2.6,150976.0,568254314.38,14.71,39.68,34.58,34.68,34.68,1.48,13.25,-168.37,5.38,4400904000.0,4249424176.0,0.03,0.27,105.74,93.86
94,600622,光大嘉宝,3.18,7.43,0.22,1526981.0,471594319.0,11.49,3.26,2.92,2.93,2.96,2.47,10.18,-14.13,1.0,4768999578.0,4768999578.0,0.0,0.63,4.26,-1.55
95,831832,科达自控,28.64,7.31,1.95,58426.0,164355989.36,12.93,29.76,26.31,26.97,26.69,2.28,9.4,46.01,3.1,2213299200.0,1780927392.0,0.07,-0.03,16.9,34.59
96,831039,国义招标,10.77,7.27,0.73,68644.0,71939728.65,9.76,10.88,9.9,9.96,10.04,2.3,4.46,29.78,3.1,1656641400.0,1656640323.0,0.09,0.28,35.3,41.71
97,833873,中设咨询,6.49,7.27,0.44,351534.0,220632779.57,15.04,6.74,5.83,5.98,6.05,1.56,31.9,-7.4,3.12,995481643.0,715220825.0,0.15,-0.31,37.5,46.83
98,301038,深水规院,18.94,7.19,1.27,106319.0,194439299.15,12.79,19.65,17.39,17.97,17.67,2.15,6.2,61.52,3.64,3250104000.0,3250104000.0,0.11,0.05,7.19,0.58
99,600793,宜宾纸业,19.13,7.17,1.28,198267.0,368159200.0,11.88,19.62,17.5,17.88,17.85,1.64,11.21,-19.58,7.52,3384173558.0,3384173558.0,0.0,0.21,-10.23,-17.65
100,832522,纳科诺尔,57.7,7.13,3.84,57230.0,320323137.17,9.84,58.48,53.18,53.4,53.86,1.48,6.25,39.95,6.19,6464938800.0,5286837510.0,-0.16,-0.22,25.08,14.21
101,832885,星辰科技,17.49,7.1,1.16,114914.0,193152843.63,9.61,17.5,15.93,16.44,16.33,1.02,13.05,185.64,7.84,2984056350.0,1539532467.0,-0.06,0.81,35.58,43.36
102,300599,雄塑科技,7.17,7.01,0.47,153342.0,108122160.5,11.49,7.35,6.58,6.78,6.7,1.46,7.23,-41.29,1.23,2567803335.0,1521406365.0,0.0,-0.69,9.3,-0.69
103,300338,*ST开元,4.64,6.91,0.3,127117.0,57186130.0,8.76,4.68,4.3,4.34,4.34,0.87,3.69,-38.8,-12.6,1868178571.0,1598697978.0,-0.22,0.22,7.91,-4.53
104,301359,东南电子,24.1,6.87,1.55,50392.0,122929000.03,10.38,25.79,23.45,23.7,22.55,4.53,19.3,45.12,2.41,2068744000.0,629207162.0,-0.41,-0.04,9.2,7.69
105,600490,鹏欣资源,4.4,6.8,0.28,1351610.0,579868019.0,9.71,4.49,4.09,4.15,4.12,1.18,6.78,-62.39,1.62,9736703148.0,8767534098.0,0.0,0.0,43.79,33.74
106,002693,双成药业,13.12,6.75,0.83,1082573.0,1417708070.69,10.01,13.52,12.29,13.49,12.29,2.05,26.32,-107.84,12.54,5440729520.0,5397333100.0,0.31,0.69,-17.95,-28.42
107,300136,信维通信,20.63,6.73,1.3,417079.0,845632604.93,8.95,20.96,19.23,19.33,19.33,2.23,5.06,28.08,2.78,19960941002.0,17010836313.0,0.0,-0.1,-12.81,-18.91
108,838701,豪声电子,33.88,6.71,2.13,33827.0,112495112.95,9.39,34.28,31.3,32.0,31.75,1.35,4.73,14.48,4.12,3320240000.0,2425015208.0,0.09,0.09,18.25,18.59
109,002285,世联行,2.39,6.7,0.15,736342.0,169562977.48,8.93,2.41,2.21,2.24,2.24,2.15,3.73,-170.36,1.58,4762861401.0,4721094483.0,0.0,0.42,-4.02,-7.72
110,003037,三和管桩,6.37,6.7,0.4,246714.0,155831248.1,11.06,6.57,5.91,5.98,5.97,4.08,4.17,137.36,1.39,3816105699.0,3771515699.0,0.0,-0.16,-5.35,-13.57
111,000797,中国武夷,3.04,6.67,0.19,1003901.0,297657772.23,9.12,3.09,2.83,2.83,2.85,2.33,6.39,190.76,0.92,4775092820.0,4774545048.0,-0.33,0.33,13.01,9.75
112,300084,海默科技,6.93,6.62,0.43,821219.0,562556880.93,10.92,7.21,6.5,6.51,6.5,2.33,23.83,-48.88,2.4,3536017940.0,2388061257.0,-0.14,0.0,18.87,28.81
113,833943,优机股份,21.0,6.54,1.29,57935.0,118195729.54,10.05,21.5,19.52,19.97,19.71,1.86,14.06,27.36,3.5,2131948938.0,865244268.0,0.05,0.19,31.41,28.05
114,002706,良信股份,8.0,6.52,0.49,343970.0,270486523.79,8.39,8.12,7.49,7.51,7.51,1.71,3.76,28.79,2.26,8985000160.0,7317522224.0,-0.12,-0.37,22.89,4.17
115,300505,川金诺,16.95,6.47,1.03,408832.0,678397446.15,10.05,17.31,15.71,16.2,15.92,2.08,18.81,16.17,1.78,4659004515.0,3684272713.0,0.0,0.53,14.53,17.71
116,873570,坤博精工,40.37,6.21,2.36,30012.0,118564738.0,7.29,40.4,37.63,37.99,38.01,1.28,13.4,110.22,5.35,1841232464.0,903872270.0,0.0,0.32,28.65,34.66
117,836221,易实精密,19.49,6.21,1.14,45940.0,87965295.33,7.52,19.6,18.22,18.24,18.35,1.6,11.1,25.52,4.7,1884683000.0,806594761.0,0.0,-0.15,24.3,31.96
118,300990,同飞股份,45.1,6.19,2.63,120889.0,553643710.82,11.14,48.28,43.55,46.0,42.47,7.14,15.62,30.85,3.97,7639889488.0,3490012537.0,0.24,0.24,16.06,9.73
119,837663,明阳科技,26.29,6.18,1.53,40899.0,106641506.89,7.79,26.92,24.99,25.04,24.76,1.67,8.4,34.29,7.27,2713128000.0,1280596968.0,0.04,0.19,62.99,82.32
120,002093,国脉科技,11.01,6.17,0.64,893820.0,961324102.37,7.52,11.07,10.29,10.38,10.37,1.51,8.88,65.79,3.03,11092575000.0,11085597413.0,0.18,0.55,45.25,41.15
121,300476,胜宏科技,78.07,6.17,4.54,542452.0,4171070799.08,6.92,78.99,73.9,73.9,73.53,0.9,6.34,58.34,7.54,67350102203.0,66766144224.0,0.06,0.09,61.7,85.48
122,600961,株冶集团,10.31,6.07,0.59,686476.0,711386028.0,6.17,10.68,10.08,10.2,9.72,2.82,9.13,9.99,3.56,11061317568.0,7751185823.0,-0.19,0.1,26.19,31.0
123,300167,*ST迪威,3.5,6.06,0.2,176306.0,60396783.0,6.67,3.55,3.33,3.33,3.3,0.89,4.94,-32.76,-130.02,1261925000.0,1248633750.0,0.0,0.29,30.11,53.51
124,831689,克莱特,43.3,6.05,2.47,81178.0,352053222.88,11.46,44.98,40.3,40.68,40.83,1.37,21.4,43.7,6.82,3178220000.0,1642395716.0,0.0,-0.25,118.14,124.35
125,601162,天风证券,4.06,6.01,0.23,5333946.0,2139025005.0,9.66,4.18,3.81,3.81,3.83,3.24,6.16,-49.19,1.53,35182975304.0,35182975304.0,0.0,-0.25,-4.25,-9.38
126,603300,海南华铁,10.08,5.99,0.57,3443841.0,3494929355.0,10.3,10.46,9.48,9.48,9.51,1.7,17.3,30.9,3.27,20061626750.0,20061626750.0,0.1,0.1,97.65,74.39
127,832000,安徽凤凰,23.2,5.98,1.31,58490.0,135079741.69,8.04,23.97,22.21,22.7,21.89,1.76,12.11,32.99,3.51,2126976000.0,1120706160.0,0.52,0.65,0.13,29.32
128,002987,京北方,18.83,5.97,1.06,580986.0,1103483787.95,10.69,19.55,17.65,17.65,17.77,2.39,9.64,37.45,4.16,11670399724.0,11344330217.0,-0.05,-0.05,36.05,32.33
129,002162,悦心健康,4.29,5.93,0.24,1226659.0,536537107.5,6.67,4.46,4.19,4.19,4.05,2.49,13.32,-26.89,4.76,3955837593.0,3950660232.0,-0.23,-0.23,20.17,23.99
130,688287,ST观典,4.29,5.93,0.24,84933.0,35719105.0,10.62,4.44,4.01,4.04,4.05,1.12,2.29,-15.88,1.82,1589511924.0,1589511924.0,0.0,0.0,-18.9,-21.72
131,300917,特发服务,51.69,5.92,2.89,199532.0,997280956.84,11.21,53.0,47.53,48.96,48.8,2.04,11.81,79.99,8.13,8735610000.0,8735610000.0,0.02,-0.12,10.52,6.84
132,603337,杰克股份,28.21,5.89,1.57,47043.0,131091261.0,9.35,28.84,26.35,26.35,26.64,1.75,0.99,16.66,2.93,13533510282.0,13342647064.0,-0.32,-0.14,-7.05,-7.39
133,873726,卓兆点胶,27.0,5.88,1.5,39251.0,103834362.54,8.27,27.1,24.99,25.0,25.5,0.65,16.87,-80.8,3.89,2216085642.0,628067412.0,0.04,0.0,21.73,29.93
134,002821,凯莱英,65.5,5.83,3.61,74927.0,486318824.86,4.06,65.51,63.0,63.0,61.89,1.95,2.33,24.89,1.4,23618998700.0,21049002579.0,0.0,1.52,-11.04,-13.92
135,836720,吉冈精密,18.92,5.76,1.03,59424.0,110554432.51,9.73,19.48,17.74,17.78,17.89,1.58,11.62,46.69,7.51,3598951048.0,967465856.0,-0.11,-0.26,8.92,22.86
136,002803,吉宏股份,13.36,5.7,0.72,331047.0,440148182.59,5.93,13.75,13.0,13.22,12.64,1.33,11.46,21.72,2.28,5140517688.0,3857969712.0,0.0,-0.22,5.11,5.36
137,300328,宜安科技,9.45,5.7,0.51,589023.0,548258945.26,8.17,9.65,8.92,8.96,8.94,1.56,8.58,1995.16,5.97,6524503020.0,6486177364.0,-0.21,-0.32,14.55,28.4
