序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
4979,603170,宝立食品,13.95,-3.33,-0.48,41651.0,58691216.0,3.47,14.41,13.91,14.39,14.43,0.85,2.62,24.12,4.24,5580139500.0,2215399500.0,0.0,0.14,-3.79,-8.34
4980,002896,中大力德,84.77,-3.33,-2.92,106983.0,912507035.56,4.96,87.43,83.08,86.18,87.69,0.65,7.08,176.63,10.91,12814789829.0,12814789829.0,0.01,0.02,99.37,120.7
4981,002041,登海种业,10.46,-3.33,-0.36,190173.0,200839963.0,3.33,10.82,10.46,10.82,10.82,0.55,2.16,117.84,2.56,9204800000.0,9204800000.0,-0.29,-0.66,-5.51,-3.95
4982,300837,浙矿股份,20.64,-3.33,-0.71,24705.0,51798740.0,5.57,21.75,20.56,21.5,21.35,1.65,3.5,17.12,1.51,2064029412.0,1456826412.0,-0.05,-0.43,5.58,2.38
4983,000626,远大控股,5.21,-3.34,-0.18,178028.0,92900193.8,3.34,5.33,5.15,5.32,5.39,0.53,3.55,-26.14,1.04,2651579817.0,2615540012.0,-0.57,-0.38,-13.46,-9.39
4984,300125,ST聆达,6.37,-3.34,-0.22,154085.0,99833208.94,5.61,6.7,6.33,6.59,6.59,0.73,5.8,-2.24,-10.82,1704611968.0,1690865909.0,0.0,-0.31,42.51,-3.19
4985,688337,普源精电,39.98,-3.34,-1.38,38116.0,153792173.0,5.34,41.86,39.65,41.1,41.36,0.55,5.61,84.07,2.45,7760279119.0,2714686458.0,0.1,0.2,2.91,2.51
4986,002077,大港股份,14.14,-3.35,-0.49,228998.0,325621822.21,3.28,14.54,14.06,14.45,14.63,0.66,3.95,155.07,2.48,8206127974.0,8206127974.0,0.0,-0.21,-2.48,-3.61
4987,301001,凯淳股份,29.24,-3.37,-1.02,39809.0,116718331.0,5.29,30.59,28.99,30.34,30.26,0.9,7.91,375.11,2.88,2339200000.0,1470772000.0,-0.03,0.03,-27.08,-16.46
4988,000633,合金投资,4.88,-3.37,-0.17,211501.0,103223511.88,5.35,5.06,4.79,4.98,5.05,1.24,5.49,276.21,9.85,1879319100.0,1879305192.0,0.21,0.21,5.17,10.16
4989,001215,千味央厨,28.08,-3.37,-0.98,36012.0,101700322.22,3.61,28.97,27.92,28.85,29.06,1.21,3.64,25.63,1.56,2787309140.0,2776948996.0,-0.07,0.0,0.29,-8.47
